tradingtime,deliverytime,price
2025-01-15 10:00:00,2025-01-15 18:00:00,229.47000000000003
2025-01-15 10:00:00,2025-01-15 19:00:00,215.64999999999998
2025-01-15 10:00:00,2025-01-15 20:00:00,171.875
2025-01-15 10:00:00,2025-01-15 21:00:00,146.45
2025-01-15 10:00:00,2025-01-15 22:00:00,137.865
2025-01-15 10:00:00,2025-01-15 23:00:00,126.44
2025-01-16 10:00:00,2025-01-16 12:00:00,129.155
2025-01-16 10:00:00,2025-01-16 13:00:00,120.18
2025-01-16 10:00:00,2025-01-16 14:00:00,113.50999999999999
2025-01-16 10:00:00,2025-01-16 15:00:00,122.19999999999999
2025-01-16 10:00:00,2025-01-16 16:00:00,146.995
2025-01-16 10:00:00,2025-01-16 17:00:00,176.0
2025-01-16 10:00:00,2025-01-16 18:00:00,183.87
2025-01-16 10:00:00,2025-01-16 19:00:00,175.96
2025-01-16 10:00:00,2025-01-16 20:00:00,156.24
2025-01-16 10:00:00,2025-01-16 21:00:00,148.32999999999998
2025-01-16 10:00:00,2025-01-16 22:00:00,136.325
2025-01-16 10:00:00,2025-01-16 23:00:00,119.44
2025-01-18 10:00:00,2025-01-18 12:00:00,127.53999999999999
2025-01-18 10:00:00,2025-01-18 13:00:00,116.96000000000001
2025-01-18 10:00:00,2025-01-18 14:00:00,120.625
2025-01-18 10:00:00,2025-01-18 15:00:00,121.515
2025-01-18 10:00:00,2025-01-18 16:00:00,129.255
2025-01-18 10:00:00,2025-01-18 17:00:00,142.0
2025-01-18 10:00:00,2025-01-18 18:00:00,164.055
2025-01-18 10:00:00,2025-01-18 19:00:00,163.61
2025-01-18 10:00:00,2025-01-18 20:00:00,151.135
2025-01-18 10:00:00,2025-01-18 21:00:00,136.0
2025-01-18 10:00:00,2025-01-18 22:00:00,133.45999999999998
2025-01-18 10:00:00,2025-01-18 23:00:00,130.1
2025-01-19 10:00:00,2025-01-19 12:00:00,132.015
2025-01-19 10:00:00,2025-01-19 13:00:00,122.49
2025-01-19 10:00:00,2025-01-19 14:00:00,121.095
